epoch,batch,phase,loss,accuracy,learning_rate,timestamp
1,0,train,10.602266311645508,0.0,2.2954798257166908e-05,2025-11-24T14:35:47.156192
1,1,train,10.493486404418945,0.0,3.174643608916313e-05,2025-11-24T14:35:47.312494
1,2,train,10.455952644348145,0.0,4.615843419479175e-05,2025-11-24T14:35:47.468292
1,3,train,10.420036315917969,0.0,6.58359213500126e-05,2025-11-24T14:35:47.633242
1,4,train,9.949262619018555,0.0,9.029437251522861e-05,2025-11-24T14:35:47.800468
1,5,train,10.242670059204102,0.0,0.00011893153944980646,2025-11-24T14:35:47.962528
1,6,train,10.024944305419922,0.0,0.00015104228006250877,2025-11-24T14:35:48.017461
1,0,val,9.725920677185059,6.25,0.00015104228006250877,2025-11-24T14:35:48.193033
1,1,val,9.176000595092773,12.5,0.00015104228006250877,2025-11-24T14:35:48.327965
1,2,val,9.581351280212402,18.75,0.00015104228006250877,2025-11-24T14:35:48.478489
1,3,val,9.287284851074219,50.0,0.00015104228006250877,2025-11-24T14:35:48.502919
2,0,train,9.461605072021484,6.25,0.00018583592135001264,2025-11-24T14:35:51.014108
2,1,train,9.45622444152832,6.25,0.00022245572839034455,2025-11-24T14:35:51.238779
2,2,train,8.78042221069336,12.5,0.00026000000000000003,2025-11-24T14:35:51.388692
2,3,train,8.903671264648438,18.75,0.00029754427160965546,2025-11-24T14:35:51.542094
2,4,train,7.849551200866699,31.25,0.00033416407864998737,2025-11-24T14:35:51.755452
2,5,train,8.4049654006958,6.25,0.00036895771993749124,2025-11-24T14:35:51.907923
2,6,train,7.501870632171631,25.0,0.00040106846055019355,2025-11-24T14:35:51.976032
2,0,val,7.919411659240723,6.25,0.00040106846055019355,2025-11-24T14:35:52.170082
2,1,val,5.387434959411621,37.5,0.00040106846055019355,2025-11-24T14:35:52.357974
2,2,val,6.82832145690918,25.0,0.00040106846055019355,2025-11-24T14:35:52.539833
2,3,val,6.904282093048096,0.0,0.00040106846055019355,2025-11-24T14:35:52.560377
3,0,train,6.830377578735352,6.25,0.0004297056274847714,2025-11-24T14:36:03.388629
3,1,train,6.020657539367676,18.75,0.00045416407864998736,2025-11-24T14:36:03.540425
3,2,train,5.368803024291992,12.5,0.00047384156580520826,2025-11-24T14:36:03.682458
3,3,train,4.865114212036133,18.75,0.0004882535639108369,2025-11-24T14:36:03.823014
3,4,train,4.800040245056152,25.0,0.000497045201742833,2025-11-24T14:36:03.963644
3,5,train,4.238409996032715,12.5,0.0005,2025-11-24T14:36:04.101545
3,6,train,4.085820198059082,0.0,0.0004999654638109217,2025-11-24T14:36:04.152487
3,0,val,8.68102741241455,25.0,0.0004999654638109217,2025-11-24T14:36:04.293739
3,1,val,4.963048458099365,25.0,0.0004999654638109217,2025-11-24T14:36:04.416984
3,2,val,7.243283748626709,18.75,0.0004999654638109217,2025-11-24T14:36:04.540666
3,3,val,7.203711986541748,50.0,0.0004999654638109217,2025-11-24T14:36:04.560536
4,0,train,3.22784686088562,6.25,0.000499861864785712,2025-11-24T14:36:16.054227
4,1,train,3.711303234100342,6.25,0.0004996892315478093,2025-11-24T14:36:16.209779
4,2,train,3.117414951324463,18.75,0.0004994476117941578,2025-11-24T14:36:16.352420
4,3,train,4.2022624015808105,18.75,0.0004991370722820285,2025-11-24T14:36:16.551561
4,4,train,3.8945655822753906,12.5,0.000498757698810575,2025-11-24T14:36:16.717182
4,5,train,3.643218755722046,18.75,0.0004983095961971281,2025-11-24T14:36:16.877554
4,6,train,4.0045905113220215,0.0,0.0004977928882482355,2025-11-24T14:36:16.941614
4,0,val,9.78801155090332,25.0,0.0004977928882482355,2025-11-24T14:36:17.085134
4,1,val,5.679783821105957,25.0,0.0004977928882482355,2025-11-24T14:36:17.262547
4,2,val,8.199801445007324,25.0,0.0004977928882482355,2025-11-24T14:36:17.405496
4,3,val,8.640892028808594,50.0,0.0004977928882482355,2025-11-24T14:36:17.435579
5,0,train,3.623201370239258,12.5,0.0004972077177254558,2025-11-24T14:36:27.060993
5,1,train,3.365943670272827,12.5,0.0004965542463059145,2025-11-24T14:36:27.206395
5,2,train,3.473810911178589,6.25,0.0004958326545376334,2025-11-24T14:36:27.345760
5,3,train,3.5860683917999268,31.25,0.0004950431417896481,2025-11-24T14:36:27.488252
5,4,train,3.7428622245788574,6.25,0.0004941859261969236,2025-11-24T14:36:27.639372
5,5,train,3.6483418941497803,31.25,0.0004932612446000854,2025-11-24T14:36:27.776577
5,6,train,4.569976806640625,0.0,0.0004922693524799833,2025-11-24T14:36:27.828589
5,0,val,10.567732810974121,6.25,0.0004922693524799833,2025-11-24T14:36:27.974098
5,1,val,5.780640602111816,37.5,0.0004922693524799833,2025-11-24T14:36:28.097801
5,2,val,8.627986907958984,25.0,0.0004922693524799833,2025-11-24T14:36:28.223069
5,3,val,9.391534805297852,0.0,0.0004922693524799833,2025-11-24T14:36:28.243091
6,0,train,3.285583019256592,25.0,0.0004912105238871038,2025-11-24T14:36:29.498595
6,1,train,3.106851100921631,25.0,0.0004900850513658531,2025-11-24T14:36:29.640230
6,2,train,3.6729254722595215,6.25,0.0004888932458737294,2025-11-24T14:36:29.780885
6,3,train,3.653759717941284,12.5,0.0004876354366954083,2025-11-24T14:36:29.922266
6,4,train,3.871198892593384,12.5,0.0004863119713517647,2025-11-24T14:36:30.062329
6,5,train,3.764204502105713,12.5,0.0004849232155038563,2025-11-24T14:36:30.202063
6,6,train,4.191183567047119,0.0,0.000483469552851894,2025-11-24T14:36:30.253301
6,0,val,10.245898246765137,25.0,0.000483469552851894,2025-11-24T14:36:30.398765
6,1,val,5.880701065063477,25.0,0.000483469552851894,2025-11-24T14:36:30.539511
6,2,val,8.630754470825195,18.75,0.000483469552851894,2025-11-24T14:36:30.664186
6,3,val,9.17534065246582,50.0,0.000483469552851894,2025-11-24T14:36:30.683996
7,0,train,3.361783504486084,18.75,0.00048195138502922996,2025-11-24T14:36:32.043623
7,1,train,3.0438098907470703,31.25,0.00048036913149139,2025-11-24T14:36:32.186139
7,2,train,3.1986794471740723,12.5,0.00047872322940018143,2025-11-24T14:36:32.331419
7,3,train,3.1981046199798584,25.0,0.00047701413350290995,2025-11-24T14:36:32.476504
7,4,train,3.610538959503174,18.75,0.0004752423160067368,2025-11-24T14:36:32.629386
7,5,train,3.529878616333008,6.25,0.0004734082664482127,2025-11-24T14:36:32.772838
7,6,train,3.2399954795837402,25.0,0.0004715124915580231,2025-11-24T14:36:32.823478
7,0,val,9.486902236938477,25.0,0.0004715124915580231,2025-11-24T14:36:32.965167
7,1,val,5.4760308265686035,25.0,0.0004715124915580231,2025-11-24T14:36:33.143784
7,2,val,7.993031024932861,18.75,0.0004715124915580231,2025-11-24T14:36:33.270910
7,3,val,8.092720031738281,50.0,0.0004715124915580231,2025-11-24T14:36:33.290789
8,0,train,2.4290695190429688,37.5,0.0004695555151209837,2025-11-24T14:36:34.694470
8,1,train,2.8073625564575195,37.5,0.00046753787783132333,2025-11-24T14:36:34.846219
8,2,train,3.37986421585083,18.75,0.000465460137143295,2025-11-24T14:36:34.987314
8,3,train,3.063946485519409,31.25,0.0004633228671171572,2025-11-24T14:36:35.129967
8,4,train,3.4243290424346924,12.5,0.00046112665826056586,2025-11-24T14:36:35.269060
8,5,train,3.469470977783203,18.75,0.00045887211736542264,2025-11-24T14:36:35.412132
8,6,train,3.1693015098571777,25.0,0.00045655986734022437,2025-11-24T14:36:35.462185
8,0,val,9.587470054626465,6.25,0.00045655986734022437,2025-11-24T14:36:35.617313
8,1,val,5.561885833740234,25.0,0.00045655986734022437,2025-11-24T14:36:35.793059
8,2,val,7.774654388427734,25.0,0.00045655986734022437,2025-11-24T14:36:35.976268
8,3,val,8.32485580444336,0.0,0.00045655986734022437,2025-11-24T14:36:35.997942
9,0,train,3.0259976387023926,18.75,0.00045419054703795897,2025-11-24T14:36:37.232635
9,1,train,2.8649721145629883,25.0,0.0004517648110795964,2025-11-24T14:36:37.411726
9,2,train,2.5391087532043457,50.0,0.0004492833296732234,2025-11-24T14:36:37.605227
9,3,train,2.6802048683166504,43.75,0.00044674678842887057,2025-11-24T14:36:37.797704
9,4,train,3.31599760055542,6.25,0.00044415588816908543,2025-11-24T14:36:38.011510
9,5,train,2.6894888877868652,25.0,0.0004415113447353013,2025-11-24T14:36:38.152540
9,6,train,2.8775930404663086,0.0,0.00043881388879005753,2025-11-24T14:36:38.204551
9,0,val,9.74041748046875,12.5,0.00043881388879005753,2025-11-24T14:36:38.348192
9,1,val,5.2616472244262695,31.25,0.00043881388879005753,2025-11-24T14:36:38.471970
9,2,val,7.889854431152344,31.25,0.00043881388879005753,2025-11-24T14:36:38.598366
9,3,val,8.02314281463623,50.0,0.00043881388879005753,2025-11-24T14:36:38.618761
